Name,Field,Squid_x,Squid_y,Squid_z
25,40,9.94E-08,7.94E-07,3.14E-06
25,45,2.59E-07,6.57E-07,2.44E-06
25,50,1.20E-07,4.25E-07,1.78E-06
25,60,1.79E-07,2.63E-07,1.03E-06
25,70,4.36E-07,4.54E-07,5.60E-07
25,80,5.43E-07,3.58E-07,-1.76E-08
25,90,6.43E-07,3.71E-07,-3.70E-07
25,100,6.03E-07,8.90E-08,-1.01E-07
26,0,2.07E-06,2.10E-06,1.97E-05
26,5,1.18E-06,2.14E-06,1.90E-05
26,10,8.10E-07,1.61E-06,1.68E-05
26,15,8.43E-07,1.35E-06,1.50E-05
26,20,9.30E-07,1.23E-06,1.34E-05
26,25,8.95E-07,9.63E-07,1.17E-05
26,30,8.99E-07,8.58E-07,1.01E-05
26,35,9.00E-07,6.52E-07,8.74E-06
26,40,8.32E-07,6.36E-07,7.98E-06
26,45,8.34E-07,3.25E-07,6.81E-06
26,50,7.72E-07,3.74E-07,5.89E-06
26,60,6.69E-07,4.88E-07,4.73E-06
26,70,6.90E-07,1.34E-07,3.48E-06
26,80,5.08E-07,-9.62E-08,2.66E-06
26,90,6.11E-07,-7.98E-08,2.08E-06
26,100,3.58E-07,2.48E-08,1.85E-06
27,0,6.68E-06,2.09E-06,2.52E-05
27,5,1.97E-06,2.66E-06,2.43E-05
27,10,-3.93E-07,1.84E-06,2.17E-05
27,15,-3.54E-07,1.33E-06,1.95E-05
27,20,-2.36E-07,1.13E-06,1.71E-05
27,25,-2.02E-07,7.74E-07,1.48E-05
27,30,-6.51E-08,7.12E-07,1.27E-05
27,35,1.92E-07,4.54E-07,1.08E-05
27,40,2.23E-07,5.34E-07,9.51E-06
27,45,3.33E-07,4.51E-07,8.42E-06
27,50,3.34E-07,4.30E-07,7.06E-06
27,60,2.16E-07,2.39E-07,5.42E-06
27,70,3.69E-07,4.16E-07,4.12E-06
27,80,3.60E-07,4.14E-07,3.30E-06
27,90,3.36E-07,1.93E-07,2.44E-06
27,100,2.62E-07,2.50E-07,2.00E-06
28,0,-1.26E-06,-4.75E-08,2.19E-05
28,5,-9.91E-07,6.67E-07,2.00E-05
28,10,-9.96E-07,5.53E-07,1.71E-05
28,15,-8.82E-07,4.74E-07,1.49E-05
28,20,-6.53E-07,3.42E-07,1.29E-05
28,25,-4.11E-07,3.07E-07,1.10E-05
28,30,-3.52E-07,1.82E-07,9.18E-06
28,35,-8.67E-08,8.27E-08,7.70E-06
28,40,3.79E-08,-1.62E-07,6.73E-06
28,45,4.11E-09,-7.27E-08,5.72E-06
28,50,-8.34E-08,4.09E-08,4.68E-06
28,60,2.01E-07,-1.21E-07,3.31E-06
28,70,1.35E-07,-1.90E-07,2.20E-06
28,80,3.44E-07,-1.97E-07,1.30E-06
28,90,4.36E-07,-1.71E-07,8.17E-07
28,100,7.61E-07,-1.81E-07,6.62E-07
29,0,1.60E-05,-7.22E-06,1.78E-05
29,5,1.11E-05,-4.47E-06,1.79E-05
29,10,6.14E-06,-2.36E-06,1.62E-05
29,15,4.28E-06,-1.65E-06,1.45E-05
29,20,3.49E-06,-1.34E-06,1.27E-05
29,25,2.91E-06,-1.28E-06,1.13E-05
29,30,2.59E-06,-1.41E-06,9.53E-06
29,35,2.45E-06,-1.21E-06,8.17E-06
29,40,2.24E-06,-1.07E-06,7.31E-06
29,45,1.92E-06,-1.12E-06,6.21E-06
29,50,1.74E-06,-1.26E-06,5.20E-06
29,60,1.72E-06,-1.09E-06,3.98E-06
29,70,1.64E-06,-6.99E-07,3.00E-06
29,80,1.03E-06,-8.77E-07,1.65E-06
29,90,9.53E-07,-1.20E-06,1.51E-06
29,100,1.58E-06,-7.31E-07,1.43E-06
30,0,3.76E-06,-2.12E-06,2.62E-05
30,5,2.06E-06,-1.30E-06,2.28E-05
30,10,5.77E-07,-1.05E-06,1.91E-05
30,15,2.60E-07,-7.94E-07,1.68E-05
30,20,8.81E-08,-6.77E-07,1.46E-05
30,25,1.66E-07,-6.15E-07,1.28E-05
30,30,2.03E-07,-6.30E-07,1.07E-05
30,35,2.94E-07,-7.74E-07,9.34E-06
30,40,2.52E-07,-6.35E-07,8.23E-06
30,45,2.63E-07,-6.20E-07,7.20E-06
30,50,3.47E-07,-6.12E-07,5.99E-06
30,60,5.12E-07,-5.72E-07,4.66E-06
30,70,5.30E-07,-5.84E-07,3.24E-06
30,80,4.94E-07,-5.59E-07,2.69E-06
30,90,6.23E-07,-6.09E-07,1.81E-06
30,100,5.48E-07,-5.99E-07,1.35E-06
31,0,2.62E-06,-5.26E-06,2.31E-05
31,5,1.40E-06,-3.76E-06,2.21E-05
31,10,1.23E-07,-2.90E-06,1.95E-05
31,15,-4.72E-08,-2.62E-06,1.74E-05
31,20,-1.40E-07,-2.29E-06,1.58E-05
31,25,1.28E-08,-2.01E-06,1.41E-05
31,30,1.15E-07,-1.78E-06,1.27E-05
31,35,1.17E-07,-1.68E-06,1.12E-05
31,40,3.13E-07,-1.49E-06,1.05E-05
31,45,2.24E-07,-1.54E-06,9.33E-06
31,50,4.46E-08,-1.46E-06,8.11E-06
31,60,2.72E-07,-8.98E-07,6.89E-06
31,70,3.97E-07,-7.34E-07,5.40E-06
31,80,5.14E-07,-6.34E-07,4.22E-06
31,90,6.91E-07,-6.04E-07,3.46E-06
31,100,7.38E-07,-5.34E-07,2.53E-06
32,0,1.25E-05,-2.60E-07,3.69E-05
32,5,6.94E-06,5.03E-07,3.60E-05
32,10,3.26E-06,-4.74E-07,3.33E-05
32,15,2.37E-06,-1.02E-06,3.07E-05
32,20,2.03E-06,-1.13E-06,2.85E-05
32,25,1.83E-06,-1.31E-06,2.62E-05
32,30,1.86E-06,-1.12E-06,2.39E-05
32,35,1.70E-06,-1.24E-06,2.19E-05
32,40,1.54E-06,-1.22E-06,2.05E-05
32,45,1.43E-06,-8.99E-07,1.84E-05
32,50,1.50E-06,-9.56E-07,1.67E-05
32,60,1.20E-06,-8.52E-07,1.40E-05
32,70,1.36E-06,-5.17E-07,1.11E-05
32,80,1.21E-06,-5.37E-07,9.42E-06
32,90,1.24E-06,-5.07E-07,7.39E-06
32,100,7.47E-07,-1.97E-07,5.37E-06
33,0,2.58E-06,-1.76E-06,4.83E-05
33,5,1.16E-06,-1.47E-06,4.52E-05
33,10,2.99E-07,-1.42E-06,4.16E-05
33,15,1.67E-07,-1.40E-06,3.85E-05
33,20,3.66E-07,-1.32E-06,3.55E-05
33,25,4.80E-07,-1.33E-06,3.26E-05
33,30,4.83E-07,-1.27E-06,2.96E-05
33,35,4.59E-07,-1.28E-06,2.73E-05
33,40,7.67E-07,-1.30E-06,2.52E-05
33,45,9.09E-07,-1.32E-06,2.32E-05
33,50,6.95E-07,-1.19E-06,2.09E-05
33,60,6.70E-07,-1.14E-06,1.75E-05
33,70,1.09E-06,-9.87E-07,1.41E-05
33,80,8.54E-07,-6.35E-07,1.18E-05
33,90,9.15E-07,-2.10E-07,9.58E-06
33,100,1.04E-06,-3.23E-07,7.36E-06
34,0,1.01E-05,-7.13E-06,3.89E-05
34,5,6.20E-06,-5.39E-06,3.83E-05
34,10,2.80E-06,-4.45E-06,3.57E-05
34,15,1.89E-06,-4.09E-06,3.31E-05
