Name,AF (mT),x (emu),y (emu),z (emu)
681,15,1.74E-06,-1.45E-06,1.33E-05
681,17.5,1.39E-06,-1.32E-06,1.16E-05
681,20,2.10E-06,-9.88E-07,1.06E-05
681,25,1.02E-06,-1.16E-06,9.71E-06
681,30,8.29E-07,-1.32E-06,8.77E-06
681,35,6.37E-07,-8.52E-07,7.83E-06
681,40,4.46E-07,-3.81E-07,6.69E-06
681,45,2.79E-07,9.06E-08,5.55E-06
681,50,1.13E-07,1.33E-07,4.41E-06
681,60,-5.41E-08,1.76E-07,3.54E-06
681,70,-7.65E-08,2.19E-07,2.67E-06
681,80,-9.89E-08,1.55E-07,1.80E-06
681,90,-1.21E-07,9.17E-08,1.36E-06
681,100,1.64E-06,2.82E-08,9.09E-07
683,0,-9.63E-07,-2.89E-06,3.80E-05
683,2.5,-1.26E-06,-3.53E-06,3.26E-05
683,5,-1.24E-06,-2.03E-06,2.76E-05
683,7.5,-1.10E-06,-2.95E-06,2.29E-05
683,10,-1.66E-06,-3.22E-06,1.92E-05
683,12.5,-1.81E-06,-1.87E-06,1.71E-05
683,15,-2.33E-06,-2.18E-06,1.52E-05
683,17.5,-2.28E-06,-1.71E-06,1.40E-05
683,20,-1.86E-06,-1.46E-06,1.28E-05
683,25,-1.68E-06,-1.24E-06,1.11E-05
683,30,-1.69E-06,-1.02E-06,9.39E-06
683,35,-1.71E-06,-1.02E-06,7.69E-06
683,40,-1.72E-06,-1.03E-06,6.72E-06
683,45,-1.40E-06,-1.03E-06,5.75E-06
683,50,-1.07E-06,-9.09E-07,4.77E-06
683,60,-7.43E-07,-7.92E-07,4.18E-06
683,70,-9.24E-07,-6.74E-07,3.58E-06
683,80,-1.11E-06,-7.46E-09,2.98E-06
683,90,-1.29E-06,6.59E-07,1.88E-06
683,100,1.12E-06,1.33E-06,7.68E-07
684,0,-7.48E-06,-7.28E-06,8.59E-05
684,2.5,-6.07E-06,-6.47E-06,7.37E-05
684,5,-4.62E-06,-4.03E-06,6.24E-05
684,7.5,-4.77E-06,-3.68E-06,5.43E-05
684,10,-4.57E-06,-2.94E-06,4.87E-05
684,12.5,-3.53E-06,-5.42E-06,4.40E-05
684,15,-3.40E-06,-5.59E-06,3.94E-05
684,17.5,-4.13E-06,-2.78E-06,3.70E-05
684,20,-2.58E-06,-5.89E-06,3.42E-05
684,25,-2.59E-06,-4.88E-06,3.02E-05
684,30,-2.59E-06,-4.60E-06,2.63E-05
684,35,-2.59E-06,-4.33E-06,2.33E-05
684,40,-3.03E-06,-4.06E-06,2.03E-05
684,45,-3.46E-06,-3.75E-06,1.72E-05
684,50,-3.89E-06,-3.45E-06,1.44E-05
684,60,-3.52E-06,-3.14E-06,1.15E-05
684,70,-3.14E-06,-2.91E-06,8.70E-06
684,80,-2.77E-06,-2.68E-06,6.79E-06
684,90,-1.65E-06,-2.45E-06,4.87E-06
684,100,-5.43E-07,6.17E-06,2.96E-06
686,0,3.16E-06,2.13E-06,6.45E-05
